Year,COUNTRY,REGION,CATEGORY,,,,
2019,Gaza,,Assault,,,,
2019,New Zealand,Oceania,Unknown,,,,
2019,India,Asia,Explosion,,,,
2019,Somalia,Africa,"Assault,Explosion",,,,
2019,Bangladesh,,Unknown,,,,
2019,Pakistan,Asia,Assault,,,,
2019,India,Asia,Explosion,,,,
2019,Iran,Asia,Explosion,,,,
2019,Nigeria,Africa,Assault,,,,
2019,Somalia,Africa,Explosion,,,,
2019,Pakistan,Asia,"Assault,Explosion",,,,
2019,Philliphines,,Explosion,,,,
2019,Afghanistan,Asia,"Assault,Explosion",,,,
2019,Colombia,Americas,Explosion,,,,
2019,Syria,Asia,Explosion,,,,
2019,Kenya,Africa,"Assault,Explosion,Hostage",,,,
2019,Burkina Faso,,Unknown,,,,
2018,United Kingdom,Europe,Assault,,,,
2018,Morocco,Africa,Unknown,,,,
2018,France,Europe,"Assault,Explosion,Hostage",,,,
2018,Iran,Asia,Explosion,,,,
2018,Pakistan,Asia,Explosion,,,,
2018,Pakistan,Asia,Assault,,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,Belgium,Europe,Unknown,,,,
2018,Australia,Oceania,Assault,,,,
2018,Venezuela,Americas,Unknown,,,,
2018,Cameroon,Africa,Hostage,,,,
2018,Egypt,Africa,Assault,,,,
2018,India,Asia,Unknown,,,,
2018,United States,Americas,Assault,,,,
2018,United States,Americas,Assault,,,,
2018,United States,,Explosion,,,,
2018,Philippines,Asia,Unknown,,,,
2018,Gaza,,Assault,,,,
2018,Iran,Asia,Assault,,,,
2018,China,Asia,Assault,,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,Libya,Africa,Unknown,,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,Somalia,Africa,Explosion,,,,
2018,Philippines,Asia,Explosion,,,,
2018,Netherlands,Europe,Assault,,,,
2018,Philippines,Asia,Explosion,,,,
2018,Spain,Europe,Assault,,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,Philippines,Asia,Explosion,,,,
2018,Tajikistan,Asia,Assault,,,,
2018,Cameroon,Africa,Unknown,,,,
2018,Pakistan,Asia,Explosion,,,,
2018,Syria,Asia,"Assault,Explosion,Hostage",,,,
2018,Pakistan,Asia,Explosion,,,,
2018,Pakistan,Asia,Explosion,,,,
2018,Pakistan,Asia,Explosion,,,,
2018,Pakistan,Asia,Explosion,,,,
2018,Somalia,Africa,"Assault,Explosion",,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,Zimbabwe,Africa,Explosion,,,,
2018,Belgium,Europe,"Assault,Hostage",,,,
2018,Indonesia,Asia,Unknown,,,,
2018,Indonesia,Asia,Explosion,,,,
2018,France,Europe,Assault,,,,
2018,Indonesia,Asia,Assault,,,,
2018,Libya,Africa,Explosion,,,,
2018,Nigeria,Africa,Explosion,,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,Mali,Africa,"Assault,Explosion",,,,
2018,Iraq,Asia,Explosion,,,,
2018,Somalia,,Unknown,,,,
2018,Turkey,Asia,Unknown,,,,
2018,France,Europe,"Assault,Hostage",,,,
2018,Somalia,Africa,Explosion,,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,United States,Americas,Explosion,,,,
2018,India,Asia,Explosion,,,,
2018,Austria,Europe,Assault,,,,
2018,Burkina Faso,Africa,Unknown,,,,
2018,Myanmar,Asia,Explosion,,,,
2018,Somalia,Africa,"Assault,Explosion",,,,
2018,Myanmar,Asia,Explosion,,,,
2018,Nigeria,Africa,Unknown,,,,
2018,Russia,Europe,Assault,,,,
2018,United States,,Assault,,,,
2018,Bolivia,Americas,Explosion,,,,
2018,India,Asia,Unknown,,,,
2018,India,Asia,Assault,,,,
2018,Libya,,Explosion,,,,
2018,Gaza,,Assault,,,,
2018,Italy,Europe,Assault,,,,
2018,Afghanistan,Asia,Explosion,,,,
2018,Afghanistan,Asia,"Assault,Explosion",,,,
2018,Libya,,Explosion,,,,
2018,Afghanistan,Asia,Assault,,,,
2018,Iraq,Asia,Explosion,,,,
2018,United States,Americas,Unknown,,,,
2017,Afghanistan,Asia,Explosion,,,,
